km,make,transmissionType,year,price,seller_type,bodyType,cubicCapacity,hp,acceleration,length,width
54470,19500,1,2020,16790,0,1100,1199.0,145.0,9.6,4702.0,1809.0
60050,1500,0,2017,26900,0,1100,1968.0,150.0,9.2,4725.0,1842.0
116000,1500,0,2014,27690,0,500,2967.0,245.0,6.5,4629.0,1898.0
198274,14500,0,2013,17300,0,1100,2143.0,170.0,9.0,4895.0,1854.0
137000,19500,1,2012,10900,0,1500,1956.0,130.0,11.4,4656.0,1884.0
95089,1500,0,2018,28490,0,500,1968.0,150.0,9.3,4388.0,1831.0
10170,19500,1,2019,12995,0,700,1398.0,90.0,13.2,4021.0,1746.0
78274,19500,0,2019,18995,0,1500,1598.0,136.0,11.8,4666.0,1884.0
49000,16500,0,2018,25900,0,700,1499.0,136.0,9.6,4299.0,1822.0
27124,6500,1,2019,17300,0,500,1248.0,95.0,13.5,4248.0,1796.0
91960,24500,1,2018,15800,0,700,1598.0,115.0,9.8,4282.0,1816.0
108012,3500,1,2018,18690,0,1500,1496.0,116.0,11.5,4568.0,1800.0
65833,1500,1,2017,19800,0,700,1598.0,110.0,10.5,4241.0,1777.0
244000,1500,0,2017,26900,0,1300,2967.0,218.0,6.2,4673.0,1846.0
16899,5500,1,2019,12999,0,700,898.0,90.0,17.5,4089.0,1761.0
284000,13500,0,2010,11900,0,700,3456.0,345.0,5.9,4850.0,1820.0
47230,1500,0,2017,24700,0,500,1395.0,150.0,8.5,4191.0,1794.0
88766,14500,0,2018,24900,0,700,2143.0,136.0,9.3,4299.0,1780.0
71335,500,0,2017,29390,0,500,2143.0,210.0,6.6,4687.0,1903.0
55000,1500,0,2017,78900,0,1100,3993.0,605.0,3.7,4979.0,1936.0
105560,7500,0,2018,19299,0,700,1999.0,187.0,9.2,4871.0,1852.0
51185,1500,0,2017,28990,0,700,1968.0,150.0,8.5,4726.0,1842.0
139986,16500,1,2015,17000,0,700,1995.0,170.0,7.4,4005.0,1727.0
56716,1500,1,2017,24699,0,500,1598.0,116.0,10.3,4191.0,1794.0
100000,1500,1,2017,19500,0,1100,1968.0,150.0,9.2,4725.0,1842.0
123300,1500,0,2014,18490,0,1100,1968.0,177.0,8.5,4926.0,1874.0
90600,500,1,2018,14900,0,700,1598.0,120.0,10.2,4351.0,1798.0
132424,1500,0,2016,32950,0,500,2480.0,340.0,4.8,4411.0,1841.0
33000,17500,1,2019,20900,0,700,1598.0,130.0,9.9,4394.0,1806.0
168000,4500,1,2011,6450,0,700,1560.0,112.0,11.6,4779.0,1860.0
103096,3500,0,2018,19700,0,700,1995.0,150.0,8.3,4329.0,1765.0
198000,16500,1,2011,9999,0,1100,1598.0,112.0,10.2,3961.0,1683.0
73027,23500,1,2015,10399,0,700,1198.0,115.0,10.9,4302.0,1808.0
29713,14500,0,2018,28199,0,500,1595.0,122.0,9.0,4424.0,1804.0
88700,11500,1,2017,21390,0,500,1598.0,120.0,10.7,4394.0,1819.0
73000,14500,0,2015,24990,0,500,2143.0,170.0,8.3,4417.0,1804.0
85645,26500,0,2017,17740,0,700,1598.0,115.0,10.5,4258.0,1790.0
82604,6500,1,2015,9500,0,700,1242.0,69.0,12.9,3571.0,1627.0
90000,14500,0,2015,30500,0,700,1991.0,381.0,4.2,4367.0,1780.0
195000,1500,1,2013,15000,0,700,1968.0,143.0,9.2,4701.0,1826.0
43052,24500,1,2017,19499,0,1100,1395.0,150.0,8.2,4548.0,1816.0
119691,16500,1,2012,15590,0,700,1598.0,184.0,7.9,4110.0,1789.0
286000,1500,0,2011,13500,0,1100,2967.0,204.0,7.4,4926.0,1874.0
32000,1500,0,2018,32000,0,500,1968.0,150.0,9.3,4388.0,1831.0
116238,26500,0,2017,17900,0,1500,1598.0,115.0,11.0,4338.0,1807.0
31059,23500,1,2017,14990,0,700,898.0,90.0,13.0,4122.0,1778.0
95000,1500,0,2018,35900,0,500,1968.0,163.0,8.9,4663.0,1893.0
54235,7500,1,2019,18900,0,500,1498.0,150.0,9.7,4524.0,1838.0
159769,25500,0,2017,23000,0,500,2494.0,197.0,8.3,4605.0,1845.0
252000,24500,1,2013,8300,0,700,1598.0,105.0,11.7,4315.0,1768.0
59236,9500,1,2017,19100,0,500,1685.0,115.0,13.7,4475.0,1850.0
27844,4500,1,2019,22699,0,500,1199.0,131.0,10.5,4500.0,1969.0
120000,23500,1,2018,15490,0,700,898.0,90.0,13.1,4122.0,1778.0
102156,7500,1,2013,8500,0,700,999.0,100.0,11.2,3969.0,1722.0
227430,15500,1,2011,17900,0,500,3200.0,200.0,9.7,4385.0,1875.0
57027,21500,0,2018,25400,0,500,1499.0,130.0,10.8,4447.0,1841.0
86137,7500,1,2015,12299,0,500,1498.0,91.0,14.0,4273.0,1765.0
58000,16500,1,2015,15990,0,700,1496.0,116.0,9.4,3982.0,1727.0
227000,3500,0,2017,16990,0,700,1995.0,190.0,7.8,4824.0,1828.0
78651,4500,1,2016,14599,0,500,1560.0,114.0,10.8,4340.0,1800.0
180300,17500,0,2010,14990,0,700,1598.0,130.0,10.5,4377.0,1806.0
31394,5500,1,2019,15899,0,500,1598.0,115.0,11.9,4341.0,1804.0
19900,1500,0,2019,48900,0,500,1968.0,190.0,8.0,4500.0,1840.0
135926,21500,1,2017,11000,0,1100,1560.0,100.0,11.8,4585.0,1804.0
13410,4500,1,2019,18300,0,500,1199.0,110.0,10.0,4154.0,1756.0
137000,7500,1,2017,19700,0,1500,1997.0,150.0,10.8,4796.0,1916.0
82800,4500,1,2017,17400,0,1500,1199.0,130.0,10.8,4597.0,1826.0
120000,14500,0,2016,32900,0,700,1950.0,194.0,7.3,4923.0,1852.0
109993,8500,1,2013,10990,0,700,1597.0,120.0,10.5,4300.0,1770.0
99950,25500,1,2017,14450,0,700,1995.0,143.0,9.5,4750.0,1810.0
51321,23500,0,2018,19820,0,700,1461.0,110.0,11.9,4848.0,1868.0
27630,15500,1,2019,17999,0,500,1590.0,117.0,11.5,4365.0,1810.0
53008,19500,1,2020,16995,0,700,1199.0,110.0,10.4,4370.0,1809.0
44388,2500,0,2019,27590,0,1100,2488.0,194.0,8.1,4805.0,1840.0
35684,14500,0,2019,42400,0,1500,1950.0,163.0,11.8,5140.0,1928.0
115674,25500,1,2017,15000,0,700,1995.0,143.0,9.5,4750.0,1810.0
58822,23500,1,2019,16899,0,1100,1330.0,140.0,9.8,4626.0,1814.0
43393,19500,1,2018,11999,0,700,1398.0,90.0,13.2,4021.0,1746.0
124496,4500,1,2011,6450,0,700,1398.0,70.0,13.5,3941.0,1728.0
53072,17500,1,2019,19799,0,700,1461.0,115.0,12.3,4394.0,1806.0
115000,19500,1,2016,11900,0,700,1598.0,110.0,11.0,4370.0,1809.0
99998,3500,1,2016,16490,0,1500,1995.0,150.0,9.3,4556.0,1800.0
130000,1500,1,2015,12990,0,700,999.0,95.0,11.1,3973.0,1746.0
115000,26500,0,2012,16499,0,500,1968.0,140.0,10.2,4426.0,1809.0
33751,19500,1,2019,18400,0,500,1199.0,130.0,9.9,4212.0,1765.0
22458,1500,1,2020,25300,0,700,999.0,110.0,10.5,4029.0,1740.0
61689,7500,1,2018,15799,0,700,999.0,125.0,11.0,4360.0,1823.0
28281,19500,1,2019,20999,0,500,1199.0,130.0,10.1,4477.0,1856.0
50764,12500,1,2016,14799,0,1500,1685.0,115.0,13.0,4525.0,1805.0
49938,4500,1,2020,22199,0,1500,1499.0,130.0,10.9,4602.0,1826.0
59680,14500,0,2016,24499,0,500,2143.0,136.0,9.5,4417.0,1804.0
115196,21500,1,2014,9199,0,700,1199.0,82.0,12.2,3962.0,1739.0
120000,12500,1,2016,13499,0,1500,1685.0,115.0,13.0,4525.0,1805.0
44255,7500,1,2019,15900,0,700,998.0,125.0,9.9,4040.0,1735.0
99084,24500,1,2018,21490,0,500,1598.0,115.0,11.5,4363.0,1841.0
115344,10500,0,2016,20000,0,700,1999.0,180.0,7.8,4665.0,1850.0
35000,15500,0,2017,25900,0,500,2268.0,150.0,11.6,4695.0,1810.0
93000,26500,0,2017,29900,0,700,1968.0,150.0,9.1,4862.0,1871.0
34769,7500,1,2015,9899,0,700,1241.0,82.0,13.3,3969.0,1722.0
79749,12500,1,2018,15800,0,500,998.0,120.0,10.3,4140.0,1760.0
142966,1500,0,2017,29300,0,500,1968.0,190.0,7.9,4663.0,1893.0
85928,21500,1,2019,29900,0,1500,1499.0,120.0,12.0,5309.0,1920.0
45215,5500,1,2014,8350,0,700,1461.0,90.0,12.1,4346.0,1733.0
28769,22500,1,2019,31990,0,500,1477.0,163.0,9.4,4425.0,1863.0
42418,7500,1,2019,30390,0,500,1997.0,180.0,9.9,4808.0,1928.0
106673,20500,0,2018,18900,0,1100,1968.0,150.0,9.1,4856.0,1864.0
73738,22500,0,2018,41500,0,500,1969.0,190.0,8.4,4688.0,1902.0
44991,7500,1,2018,15899,0,700,999.0,100.0,10.5,4040.0,1735.0
89000,23500,1,2019,22650,0,1500,1598.0,130.0,10.7,4857.0,1888.0
70000,16500,1,2012,13999,0,900,1598.0,112.0,10.3,3723.0,1683.0
62440,25500,1,2017,16099,0,1500,1598.0,132.0,11.7,4460.0,1790.0
70696,7500,1,2016,14950,0,500,999.0,140.0,12.7,4011.0,1765.0
23900,26500,0,2020,36700,0,700,1984.0,245.0,6.2,4258.0,1790.0
32752,6500,1,2018,12999,0,700,1242.0,69.0,12.9,3571.0,1627.0
114782,1500,0,2016,30490,0,500,1968.0,190.0,8.4,4629.0,1898.0
124000,1500,1,2012,18480,0,1100,1968.0,143.0,10.3,4721.0,1841.0
24369,24500,0,2019,22400,0,1100,1498.0,150.0,8.3,4548.0,1816.0
35000,6500,1,2019,13990,0,700,1242.0,69.0,12.9,3571.0,1627.0
82000,24500,1,2014,10490,0,700,1598.0,105.0,10.4,4482.0,1706.0
68220,2500,1,2015,15799,0,500,1998.0,120.0,9.9,4275.0,1765.0
171000,1500,0,2015,18490,0,700,1798.0,180.0,6.8,4310.0,1785.0
32445,4500,1,2020,11200,0,700,998.0,72.0,14.0,3466.0,1615.0
61181,17500,1,2017,15500,0,500,1197.0,115.0,10.8,4135.0,1765.0
11889,2500,1,2019,24999,0,500,1998.0,165.0,10.3,4550.0,1840.0
82000,1500,1,2017,17900,0,700,999.0,95.0,11.1,3973.0,1746.0
98559,26500,1,2011,10800,0,700,1197.0,105.0,9.7,3970.0,1682.0
221000,1500,0,2010,10990,0,1100,1968.0,143.0,9.7,4703.0,1826.0
81014,24500,1,2019,15600,0,500,999.0,115.0,9.8,4138.0,1780.0
85000,1500,1,2015,24900,0,700,1984.0,231.0,5.9,3975.0,1746.0
104000,21500,1,2012,6490,0,700,1398.0,70.0,15.0,4030.0,1748.0
52000,15500,1,2017,16500,0,500,1590.0,117.0,11.5,4355.0,1810.0
109000,9500,1,2015,10000,0,700,1396.0,90.0,13.5,4300.0,1780.0
21100,1500,0,2019,23900,0,700,999.0,116.0,9.4,4029.0,1740.0
13900,12500,1,2020,23950,0,500,1591.0,204.0,7.7,4395.0,1826.0
17715,1500,1,2019,21990,0,700,999.0,116.0,9.9,4313.0,1785.0
77117,26500,1,2015,10999,0,700,1422.0,90.0,10.9,3972.0,1682.0
91515,1500,1,2015,20990,0,1100,1968.0,150.0,9.5,4699.0,1826.0
260000,1500,1,2010,9290,0,1300,1984.0,180.0,7.8,4625.0,1854.0
191900,1500,0,2018,26900,0,1100,1968.0,190.0,7.8,4750.0,1842.0
60063,1500,0,2016,26999,0,1100,1968.0,150.0,9.2,4725.0,1842.0
29000,25500,0,2017,18250,0,700,1798.0,136.0,10.9,4330.0,1760.0
40181,7500,1,2018,11499,0,700,1198.0,70.0,16.0,3929.0,1695.0
156299,19500,1,2016,9900,0,700,1598.0,110.0,11.0,4370.0,1809.0
112656,16500,1,2016,12500,0,700,1496.0,95.0,11.4,3982.0,1727.0
62560,3500,0,2018,40699,0,500,1995.0,190.0,8.0,4752.0,1918.0
118000,26500,0,2017,24900,0,1500,1968.0,150.0,9.3,4527.0,1829.0
20342,11500,1,2019,20699,0,500,999.0,120.0,11.2,4236.0,1805.0
220000,1500,0,2012,17990,0,500,1968.0,170.0,9.9,4629.0,1880.0
10921,19500,1,2019,18990,0,500,1199.0,110.0,10.9,4212.0,1765.0
51321,23500,0,2018,19820,0,700,1461.0,110.0,11.9,4848.0,1868.0
82673,13500,0,2017,26600,0,500,2494.0,197.0,9.2,4630.0,1845.0
81236,13500,0,2017,29799,0,500,2494.0,197.0,9.2,4630.0,1845.0
10000,1500,0,2019,28990,0,500,999.0,116.0,10.3,4191.0,1794.0
20087,14500,1,2015,21199,0,1500,1461.0,109.0,11.6,4359.0,1786.0
68000,21500,1,2015,12900,0,500,1560.0,100.0,11.3,4159.0,1739.0
51067,4500,1,2015,11899,0,700,1199.0,82.0,12.9,4157.0,1729.0
22000,24500,1,2020,18500,0,700,999.0,115.0,9.3,4059.0,1780.0
80267,2500,1,2015,16199,0,500,2191.0,150.0,10.0,4555.0,1840.0
190000,1500,0,2013,15690,0,700,1968.0,143.0,9.1,4701.0,1826.0
92422,12500,0,2017,21399,0,500,1685.0,141.0,11.5,4480.0,1855.0
79000,1500,0,2017,34700,0,500,1968.0,163.0,8.9,4663.0,1893.0
35900,14500,1,2018,25900,0,500,1595.0,122.0,9.0,4424.0,1804.0
219000,1500,0,2012,15000,0,700,2967.0,204.0,7.0,4915.0,1874.0
101874,12500,1,2015,9999,0,700,1248.0,84.0,13.4,4050.0,1720.0
66724,500,0,2018,27500,0,700,1995.0,200.0,6.7,4643.0,1860.0
80322,1500,0,2018,29099,0,700,1968.0,190.0,8.2,4933.0,1874.0
177639,1500,1,2011,11500,0,700,1968.0,136.0,9.5,4703.0,1826.0
121000,1500,1,2014,15499,0,1100,1968.0,120.0,10.9,4699.0,1826.0
62500,24500,1,2017,13500,0,700,1598.0,110.0,10.5,4263.0,1816.0
70251,26500,1,2017,18290,0,700,1968.0,150.0,8.7,4767.0,1832.0
67647,19500,1,2016,14999,0,500,1364.0,140.0,9.9,4275.0,1781.0
168000,11500,1,2016,16000,0,500,1956.0,140.0,10.9,4623.0,1859.0
136773,25500,0,2017,15500,0,700,1798.0,136.0,10.9,4330.0,1760.0
81000,3500,0,2019,44990,0,500,1995.0,190.0,8.0,4752.0,1918.0
79000,14500,1,2017,24950,0,500,2143.0,136.0,9.5,4424.0,1804.0
89995,1500,1,2016,16490,0,700,999.0,95.0,11.1,3973.0,1746.0
82000,12500,1,2018,16490,0,1500,1685.0,115.0,13.2,4525.0,1805.0
46223,19500,1,2018,20600,0,500,1560.0,120.0,11.8,4477.0,1856.0
44706,1500,0,2017,28400,0,500,1598.0,116.0,10.5,4191.0,1794.0
62249,5500,1,2017,12190,0,1500,1198.0,115.0,10.6,4498.0,1751.0
53000,5500,1,2018,18490,0,500,1461.0,110.0,12.4,4316.0,1822.0
55000,26500,1,2018,31990,0,500,1968.0,150.0,9.8,4426.0,1809.0
159000,1500,0,2011,21775,0,700,2967.0,245.0,6.3,4969.0,1911.0
39843,16500,1,2017,18300,0,700,1496.0,116.0,9.4,3982.0,1727.0
110000,1500,0,2016,40900,0,700,2967.0,262.0,6.1,5265.0,1949.0
27884,8500,0,2019,26099,0,500,1498.0,182.0,7.8,4346.0,1790.0
186991,17500,1,2012,10500,0,700,1461.0,110.0,12.4,4330.0,1780.0
130329,1500,1,2015,18495,0,700,1968.0,150.0,8.6,4310.0,1785.0
219500,1500,0,2017,30999,0,700,2967.0,272.0,5.7,4974.0,1911.0
63635,16500,1,2017,21399,0,900,1499.0,136.0,8.8,3821.0,1727.0
57000,2500,1,2017,17450,0,1100,2191.0,150.0,9.3,4805.0,1840.0
38000,8500,1,2015,17900,0,700,1597.0,120.0,10.8,4370.0,1770.0
135000,21500,0,2013,14999,0,700,2179.0,204.0,8.2,4792.0,1853.0
250000,15500,1,2010,7600,0,500,1968.0,140.0,10.8,4665.0,1800.0
50571,19500,1,2020,17900,0,1100,1199.0,145.0,9.6,4702.0,1809.0
35137,25500,0,2020,25699,0,700,1798.0,122.0,11.0,4395.0,1795.0
58500,25500,0,2018,18500,0,700,1798.0,136.0,10.9,4330.0,1760.0
30962,19500,1,2017,14999,0,700,1399.0,125.0,9.5,4370.0,1809.0
54494,4500,1,2017,11899,0,700,1199.0,68.0,16.3,3996.0,1749.0
162009,1500,0,2018,46000,0,500,2967.0,272.0,6.3,5052.0,1968.0
40000,9500,0,2019,29900,0,500,1598.0,136.0,11.8,4480.0,1850.0
114000,1500,1,2017,12999,0,700,1422.0,90.0,11.6,3973.0,1746.0
25343,17500,1,2018,23599,0,500,1618.0,163.0,9.7,4690.0,1820.0
58097,22500,1,2017,17950,0,700,1969.0,120.0,10.5,4369.0,1802.0
120542,3500,0,2017,19990,0,700,1995.0,190.0,6.8,4329.0,1765.0
54142,17500,1,2017,18399,0,700,1461.0,110.0,11.9,4377.0,1806.0
358000,24500,1,2010,4750,0,1100,1968.0,143.0,9.6,4666.0,1772.0
47061,14500,0,2019,29900,0,500,2143.0,136.0,9.1,4424.0,1804.0
160000,1500,1,2013,16900,0,500,1968.0,140.0,9.9,4385.0,1831.0
19201,23500,1,2020,17700,0,700,1461.0,115.0,9.9,4050.0,1798.0
118968,14500,0,2016,43700,0,500,2143.0,204.0,7.6,4732.0,1890.0
32433,25500,0,2019,34299,0,500,2494.0,197.0,8.3,4605.0,1845.0
101900,13500,0,2017,29900,0,500,2494.0,197.0,9.2,4630.0,1845.0
72800,15500,1,2017,16450,0,500,1590.0,117.0,11.5,4355.0,1810.0
52000,9500,1,2011,5890,0,700,1248.0,78.0,12.8,3565.0,1595.0
74000,18500,0,2014,34900,0,500,2967.0,245.0,7.6,4846.0,1939.0
21000,7500,1,2020,24500,0,500,998.0,155.0,9.0,4207.0,1805.0
122000,16500,1,2013,12400,0,700,1598.0,90.0,12.9,4097.0,1789.0
138844,10500,1,2017,26900,0,500,1999.0,180.0,8.9,4731.0,1936.0
51961,24500,1,2019,17699,0,1100,1598.0,115.0,10.6,4549.0,1816.0
86060,7500,0,2018,21990,0,700,1997.0,150.0,8.7,4360.0,1823.0
122000,1500,1,2011,8999,0,700,1197.0,86.0,11.7,3954.0,1740.0
14000,1500,0,2018,54990,0,700,2480.0,400.0,4.1,4335.0,1800.0
51847,24500,1,2018,20499,0,1100,1395.0,150.0,8.2,4548.0,1816.0
20839,19500,1,2020,16985,0,700,1199.0,110.0,10.4,4370.0,1809.0
49990,19500,1,2019,17490,0,500,1364.0,140.0,9.9,4275.0,1781.0
136231,1500,1,2014,14900,0,700,1197.0,105.0,10.3,4237.0,1777.0
88000,1500,1,2015,17990,0,700,1598.0,110.0,10.7,4310.0,1785.0
117000,20500,1,2016,9600,0,700,1598.0,116.0,10.0,4483.0,1706.0
48648,19500,1,2020,18500,0,1100,1199.0,145.0,9.6,4702.0,1809.0
130935,1500,1,2016,17900,0,1100,1968.0,150.0,9.2,4725.0,1842.0
110000,9500,1,2016,17900,0,500,1685.0,115.0,13.7,4475.0,1850.0
82009,21500,1,2018,23500,0,500,1499.0,130.0,10.8,4447.0,1841.0
31176,1500,1,2018,18700,0,700,999.0,95.0,11.1,3973.0,1746.0
19995,7500,1,2020,21995,0,500,998.0,125.0,10.0,4207.0,1805.0
166000,1500,0,2017,40390,0,1300,2995.0,354.0,4.7,4692.0,1846.0
40527,12500,1,2018,10599,0,700,998.0,67.0,14.3,3595.0,1595.0
110000,14500,0,2016,23999,0,500,2143.0,136.0,9.5,4417.0,1804.0
169000,18500,0,2013,31775,0,500,2967.0,245.0,7.6,4846.0,1939.0
46743,21500,1,2018,16499,0,500,1199.0,130.0,8.6,4159.0,1739.0
41664,19500,1,2020,18500,0,1100,1199.0,145.0,9.6,4702.0,1809.0
53000,1500,1,2018,25363,0,500,1598.0,116.0,10.3,4191.0,1794.0
68605,19500,1,2019,12900,0,700,1398.0,90.0,13.9,4021.0,1746.0
51000,17500,1,2017,14990,0,500,1197.0,115.0,10.8,4135.0,1765.0
19831,1500,0,2018,26900,0,900,1968.0,150.0,8.7,4423.0,1793.0
127000,1500,0,2010,11300,0,700,1598.0,105.0,11.4,4238.0,1765.0
31505,3500,0,2019,45890,0,500,1998.0,184.0,8.3,4752.0,1918.0
47554,26500,0,2019,32500,0,500,1968.0,150.0,9.3,4486.0,1839.0
32885,25500,1,2015,11699,0,700,998.0,69.0,15.3,3950.0,1695.0
72105,20500,1,2016,9390,0,700,999.0,75.0,14.7,3992.0,1732.0
32999,19500,1,2018,12199,0,700,1398.0,90.0,13.9,4021.0,1746.0
129000,1500,0,2015,21900,0,700,1968.0,190.0,8.2,4933.0,1874.0
104899,1500,1,2015,14999,0,700,1598.0,110.0,10.5,4237.0,1777.0
24000,1500,0,2019,34990,0,500,1968.0,150.0,9.2,4484.0,1856.0
99586,25500,1,2013,6699,0,700,998.0,68.0,14.2,3430.0,1615.0
48516,16500,1,2017,16799,0,700,1499.0,136.0,7.9,3821.0,1727.0
80000,18500,0,2016,57499,0,500,2997.0,360.0,5.2,4692.0,1926.0
42226,24500,1,2019,29400,0,1500,1968.0,150.0,10.3,4854.0,1904.0
206560,1500,0,2014,15700,0,700,1968.0,150.0,8.4,4310.0,1785.0
82000,3500,0,2015,32480,0,500,1995.0,218.0,8.2,4886.0,1938.0
63194,17500,1,2017,14399,0,500,1461.0,110.0,11.2,4135.0,1765.0
28776,1500,1,2019,23299,0,700,999.0,116.0,9.5,4029.0,1740.0
